feature,importance,model
num__queue_slope_3,0.43472858275025617,GB_Single
num__queue_mean_3,0.41905573114786854,GB_Single
num__log_queue_max10,0.05153326701554632,GB_Single
num__count,0.011806046052247918,GB_Single
num__minute_minor_interaction,0.007966160275751002,GB_Single
num__minute_sq,0.007273964208516919,GB_Single
num__relative start (minutes),0.006781728518179846,GB_Single
num__precipitation_sum,0.0034746282471688488,GB_Single
cat__team_chase atlantic,0.003309261936494263,GB_Single
cat__time category_30-60 min before,0.003110753158095742,GB_Single
cat__team_twenty one pilots,0.0028772836599200604,GB_Single
num__minute_cos,0.0027485960659947065,GB_Single
cat__team_lil uzi vert,0.002680320816418445,GB_Single
num__minute_sin,0.0025964815117432887,GB_Single
cat__minor_category_RAP/URBAN,0.0024877668864277253,GB_Single
cat__team_joji,0.0022381820870140704,GB_Single
num__temperature_2m_max,0.001912261339956898,GB_Single
cat__team_ed sheeran,0.001754724798972768,GB_Single
num__temperature_2m_min,0.0015654918857088604,GB_Single
num__tier,0.001504381060780243,GB_Single
cat__team_la clippers,0.0014758547728879353,GB_Single
cat__team_cleveland cavaliers,0.0014063009841269562,GB_Single
num__hour,0.0012370584922073988,GB_Single
cat__team_utah jazz,0.0012239797094045742,GB_Single
cat__time category_0-30 min before,0.0012111148180308652,GB_Single
num__hour_cos,0.0011227421973289146,GB_Single
cat__team_mary j blige,0.001051794055455713,GB_Single
cat__team_rauw alejandro,0.000992230199002492,GB_Single
num__5_minute_bucket,0.0009596488726558674,GB_Single
cat__team_san antonio spurs,0.0008250996654744367,GB_Single
cat__team_travis scott,0.0008052571379131297,GB_Single
cat__team_indiana fever,0.0007979520740540225,GB_Single
cat__team_childish gambino,0.0007979413067478919,GB_Single
cat__team_doja cat,0.0006849467821354257,GB_Single
cat__team_zach bryan,0.000656781409429737,GB_Single
cat__team_ringling bros.3:00pm,0.0006235999344241786,GB_Single
cat__team_russ,0.0006220037986297727,GB_Single
num__day_cos,0.0005833437634344064,GB_Single
num__day_sin,0.0005112596446928052,GB_Single
cat__team_phoenix suns,0.0005034631541101684,GB_Single
cat__minor_category_FOLK,0.0005011170071058078,GB_Single
cat__team_j-hope,0.0004476285915676044,GB_Single
cat__team_disney on ice 7:00pm,0.00044179935186579235,GB_Single
cat__event_day_WED,0.0004324051763125659,GB_Single
cat__minor_category_R & B,0.00040999606385666224,GB_Single
cat__team_buju banton,0.0003643568406871279,GB_Single
cat__time category_60-90 min before,0.0003174500482103864,GB_Single
cat__team_ringling bros.7:00pm,0.0002928109802535471,GB_Single
cat__team_hot wheels 12:30pm,0.00028820847411988314,GB_Single
