day_of_year_norm,temperature_2m_max_mean,temperature_2m_max_std,temperature_2m_max_min,temperature_2m_max_max,temperature_2m_min_mean,temperature_2m_min_std,temperature_2m_min_min,temperature_2m_min_max,precipitation_sum_mean,precipitation_sum_std,precipitation_sum_min,precipitation_sum_max,n_observations,temperature_2m_max_mean_smoothed,temperature_2m_min_mean_smoothed,precipitation_sum_mean_smoothed
1,9.28,3.15,4.7,12.0,3.2,3.92,-2.2,7.7,6.36,6.68,0.0,17.3,5,8.43142857142857,1.7657142857142856,3.845714285714286
2,9.4,3.95,5.3,14.1,0.96,3.45,-4.6,4.2,5.2,9.08,0.0,21.1,5,7.888571428571429,1.3285714285714287,3.44
3,5.92,4.24,2.6,12.8,-0.18,4.67,-4.1,7.9,3.7,4.12,0.0,8.7,5,7.065714285714286,0.7828571428571429,3.662857142857143
4,6.08,6.8,-0.0,16.8,0.02,6.21,-6.3,10.2,0.82,1.11,0.0,2.5,5,6.174285714285714,-0.07142857142857142,3.4457142857142857
5,5.74,4.88,0.2,13.0,-0.18,5.19,-5.3,8.1,0.6,1.29,0.0,2.9,5,5.1571428571428575,-1.1428571428571428,2.5371428571428574
6,3.78,3.64,-1.7,8.4,-1.32,3.46,-4.9,3.4,3.82,4.82,0.0,11.1,5,4.517142857142857,-1.7771428571428574,2.8200000000000003
7,3.02,4.41,-2.8,8.2,-3.0,3.83,-8.7,0.6,3.62,5.02,0.0,10.5,5,4.571428571428571,-1.874285714285714,3.3485714285714288
8,2.16,4.19,-2.5,6.3,-4.3,2.51,-7.5,-2.0,0.0,0.0,0.0,0.0,5,4.005714285714286,-2.345714285714286,3.282857142857143
9,4.92,5.31,-1.6,12.5,-3.48,2.86,-6.7,1.1,7.18,12.75,0.0,29.7,5,4.154285714285714,-2.7114285714285713,3.914285714285714
10,6.3,4.02,3.1,13.2,-0.86,3.98,-3.7,5.7,7.4,16.55,0.0,37.0,5,4.925714285714285,-2.5742857142857143,4.345714285714285
11,2.12,4.4,-3.9,7.9,-3.28,3.35,-8.3,0.5,0.36,0.8,0.0,1.8,5,5.171428571428572,-2.5171428571428573,3.8485714285714288
12,6.78,2.66,4.6,11.0,-2.74,2.66,-7.2,-0.1,5.02,10.73,0.0,24.2,5,5.014285714285714,-2.6028571428571428,3.9542857142857146
13,9.18,3.74,6.2,14.1,-0.36,2.91,-3.6,3.4,6.84,13.94,0.0,31.7,5,4.862857142857143,-2.8228571428571425,3.9257142857142853
14,4.74,3.01,0.5,8.5,-2.6,1.72,-4.3,-0.7,0.14,0.31,0.0,0.7,5,4.6571428571428575,-3.1285714285714286,3.8428571428571425
15,1.06,5.35,-5.3,8.2,-4.9,3.83,-10.6,-0.8,0.74,1.18,0.0,2.7,5,5.131428571428572,-2.8542857142857145,3.9200000000000004
16,3.86,4.28,-1.1,8.3,-5.02,5.46,-13.0,2.0,6.98,8.37,0.0,20.1,5,4.765714285714286,-2.7142857142857144,4.014285714285714
17,4.86,5.35,-4.2,9.4,-3.0,3.87,-8.9,0.5,6.82,15.03,0.0,33.7,5,3.84,-3.345714285714286,3.2942857142857145
18,5.44,4.08,0.5,10.9,-1.36,3.95,-6.5,3.2,0.9,0.96,0.1,2.0,5,3.065714285714286,-4.1,3.2971428571428576
19,4.22,3.39,-0.9,7.9,-1.76,2.58,-4.4,2.4,5.68,7.71,0.0,18.5,5,3.0914285714285716,-4.454285714285715,3.371428571428571
